,core_capital,supplementary_capital,price,number_of_shares,capitalization,core_capital_per_share,supplementary_capital_per_share
KSG-AGRO,743.0,185085.0,1.92,15020000,28838400,4.9467376830892146e-05,0.012322569906790945
KETY,68025.0,60254.0,534.0,9650152,5153181168,0.0070491117652861845,0.006243839475274586
KVT,18378.0,59473.0,12.500000040810287,12251813,153147663,0.0015000228945707872,0.004854220350898271
LABO-PRINT,3812.0,3256.0,13.5,3812000,51462000,0.001,0.0008541448058761805
LIBET,500.0,134668.0,1.65,50000000,82500000,1e-05,0.00269336
LUBAWA,30054.0,106100.0,3.18,150270000,477858600,0.0002,0.0007060624209755773
LENA-LIGHTING,1244.0,97043.0,3.8700000201004623,24875050,96266444,5.0009949728744265e-05,0.0039012182890084644
LES,124587.0,0.0,0.6090000031303354,124587290,75873660,0.000999997672314728,0.0
LKD,3600.0,122370.0,15.0,18000000,270000000,0.0002,0.006798333333333333
LPP,3708.0,3082590.0,9585.0,1854241,17772899985,0.0019997400553649716,1.6624538018520785
LRK,166033.0,12975.0,0.15000003131899967,15964750,2394713,0.010399974944800263,0.0008127280414663556
LRQ,1288.0,2700.0,1.2400000372572515,12883398,15975414,9.997362497067932e-05,0.0002095720399230079
LSI-SOFTWARE,3261.0,8150.0,12.300000122670713,3260762,40107373,0.001000072989074333,0.0024994157807285535
LENTEX,16400.0,79525.0,7.78,40000000,311200000,0.00041,0.001988125
LIVECHAT,515.0,38580.0,141.0,25750000,3630750000,2e-05,0.001498252427184466
BOGDANKA,301158.0,702549.0,37.820000005880004,34013590,1286393974,0.008854049219738347,0.02065494997734729
MABION,1616.0,237443.0,17.140000022274023,16162326,277022268,9.998560850709236e-05,0.014691140371750948
MAKARONY-POLSKIE,33120.0,53521.0,10.35000001358687,11040071,114264735,0.0029999807066458176,0.004847885489142235
MAN,1940.0,3610.0,0.88,22600000,19888000,8.584070796460177e-05,0.00015973451327433628
MBR,35129.0,47084.0,310.0,3512885,1088994350,0.010000042699946055,0.013403228400588121
MBW,720859.0,334611.0,10.5,111989820,1175893110,0.006436826132946727,0.002987869790307726
MCI,52461.0,1721705.0,17.300000001906177,52461033,907575871,0.0009999993709616812,0.0328187399588567
MERCOR,3915.0,106202.0,18.700000031931467,15658535,292814605,0.0002500233897998759,0.006782371403199597
MDG,498.0,148123.0,16.720000032151855,9952769,166410298,5.003632657404186e-05,0.01488259197013414
MDI,161380.0,9651.0,1.2250000032531958,46108506,56482920,0.0035000049665456522,0.00020931062047423526
MEGARON,540.0,9413.0,10.5,2700000,28350000,0.0002,0.0034862962962962964
MEX-POLSKA,767.0,15359.0,3.1000000521822892,7665436,23762852,0.00010005953999224571,0.0020036694585930923
MFO,1321.0,279233.0,35.0,6607490,231262150,0.00019992463098695572,0.04226007152489069
MGT,1335.0,164211.0,102.0,6676854,681039108,0.00019994446486324249,0.0245940678049872
MIRACULUM,38000.0,2850.0,1.36,38000000,51680000,0.001,7.5e-05
MLP-GROUP,5999.0,485348.0,75.19999998332985,23994982,1804422646,0.00025001060638428485,0.020227062474979143
MILKILAND,14563.0,226896.0,0.78,31250000,24375000,0.000466016,0.007260672
MLS,6484.0,91239.0,56.0,6484243,363117608,0.0009999625245383308,0.01407087920671696
MENNICA-POLSKA,51087.0,14047.0,16.900000001957437,51087191,863373528,0.0009999962612937557,0.00027496129117766526
MOC,140.0,101198.0,20.75,14030000,291122500,9.978617248752673e-06,0.007212972202423378
MOJ,9827.0,34762.0,1.9700000427388957,9827114,19359415,0.0009999883994426034,0.003537355931761858
MOL-MAGYAR-OLAJ,924452.0,31622339.0,30.200000000488146,819425403,24746647171,0.0011281710288886418,0.0385908697536437
MONNARI-TRADE,3056.0,126475.0,4.89999999672808,30563089,149759136,9.998989303731701e-05,0.004138161558211606
MOV,2573.0,3421.0,16.90000007772629,2573132,43485931,0.0009999487006496363,0.0013295081635920738
MIRBUD,9174.0,220499.0,6.76,91744200,620190792,9.99954220539282e-05,0.0024034107878209195
MERCATOR,10647.0,57843.0,42.600000037568684,10647166,453569272,0.0009999844089967228,0.005432713268488535
MOSTOSTAL-PLOCK,20000.0,2461.0,18.95,2000000,37900000,0.01,0.0012305
MOSTOSTAL-WARSZAWA,44801.0,108406.0,5.7,20000000,114000000,0.00224005,0.0054203
MOSTOSTAL-ZABRZE,149131.0,0.0,2.4200000002682214,74565269,180447951,0.002000006195914079,0.0
MVP,41653.0,523555.0,6.0199999990396815,41652852,250750169,0.0010000035531780632,0.012569487438699276
MW-TRADE,255.0,24235.0,5.5199998903053,2552539,14090015,9.990053041305148e-05,0.009494468057099225
MXC,135.0,34543.0,9.3,2700000,25110000,5e-05,0.012793703703703703
MUZA,6261.0,13658.0,7.5,3069156,23018670,0.00203997450764966,0.004450083345388765
NEUCA,4420.0,277667.0,618.0,4496549,2778867282,0.0009829760556373344,0.06175113403634654
NNG,16748.0,29351.0,1.4000000199030136,20097459,28136443,0.0008333391798435812,0.0014604333811552993
NTC,8677.0,30241.0,0.7000000207440317,14461991,10123394,0.0005999865440380927,0.0020910675438810603
NTT,83100.0,26289.0,4.71,13850000,65233500,0.006,0.0018981227436823105
NTU,1140.0,0.0,18.1,7807000,141306700,0.00014602280005123608,0.0
PANOVA,10000.0,142844.0,11.2,10000000,112000000,0.001,0.0142844
NVG,3502.0,855.0,1.249999992860261,35015285,43769106,0.00010001346554797427,2.4417907779416904e-05
NOVITA,5000.0,84076.0,106.0,2500000,265000000,0.002,0.0336304
NEWAG,11250.0,0.0,18.800000004444446,45000001,846000019,0.0002499999944444446,0.0
NXG,6000.0,14671.0,3.0,10000000,30000000,0.0006,0.0014671
ORZEL-BIALY,7160.0,363503.0,25.10000000600577,16650649,417931290,0.00043001326855187445,0.021831161055644137
ODLEWNIE-POLSKIE,30164.0,55195.0,9.08000001591278,20109621,182595359,0.0014999785426090327,0.002744706128474525
OEX,1514.0,63004.0,36.099999973576196,7568932,273238445,0.00020002822062610684,0.008324027749225386
OND,1101.0,255580.0,13.34,55030000,734100200,2.0007268762493184e-05,0.004644375795020897
OPG,13145.0,1311692.0,2.750000000190185,1314507629,3614895980,9.999941963060299e-06,0.000997858035253746
ORANGE,3937000.0,832000.0,6.726000000187449,1312357479,8826916404,0.0029999448039111603,0.0006339736034681446
OPTEAM,787.0,47160.0,8.25,7871500,64939875,9.998094391157975e-05,0.005991234199326685
OPONEO-PL,13936.0,125560.0,38.8,13936000,540716800,0.001,0.009009758897818599
OTMUCHOW,5099.0,72255.0,2.86000000197888,30320179,86715712,0.0001681718303839829,0.0023830664060393576
OT-LOGISTICS,3144.0,10736.0,27.3,13098780,357596694,0.00024002235322678907,0.0008196183155988573
OVOSTAR,416.0,153220.0,41.2,6000000,247200000,6.933333333333333e-05,0.025536666666666666
PAS,192.0,1182.0,25.7,2052750,52755675,9.353306540007307e-05,0.0005758129338691998
PATENTUS,11800.0,6448.0,1.49,29500000,43955000,0.0004,0.00021857627118644068
PBS-FINANSE,29266.0,1619.0,0.458,10452000,4787016,0.0028000382701875237,0.00015489858400306161
PBG,16368.0,1022933.0,0.019999999682314827,818420313,16368406,1.9999503604696088e-05,0.0012498871102677531
PEKABEX,24827.0,25245.0,16.349999991944095,24826512,405913471,0.0010000196564060226,0.0010168564959910599
POLICE,1241758.0,0.0,11.700000003221241,124175768,1452856486,0.010000002576992316,0.0
PCF,599.0,121869.0,37.1,30086330,1116202843,1.99093741243947e-05,0.004050643597939663
PC-GUARD,30689.0,0.0,1.1699999195140631,1615189,1889771,0.019000253221140066,0.0
PCO,9.0,0.0,41.3,575000000,23747500000,1.5652173913043478e-08,0.0
ROKITA,19853.0,50113.0,144.8,19853300,2874757840,0.0009999848891620033,0.002524164748429732
PCC-EXOL,174137.0,33618.0,3.480000002067342,174136643,605995518,0.001000002050114174,0.00019305528934539067
PHOTON,2814.0,170014.0,12.059999995754307,61238521,738536563,4.595146901082082e-05,0.002776259080456891
POLENERGIA,133604.0,1515942.0,78.19999999700609,66802246,5223935637,0.001999992634978171,0.022692979514491174
PGE,19184000.0,25049000.0,6.016000000042786,2243712994,13498177372,0.00855011316122012,0.011164083849843765
POINT-GROUP,62371.0,34543.0,2.4800000038529326,10381702,25746621,0.006007781768345884,0.0033272964298146873
PGV,87668.0,11588.0,1.0500000014925606,100498437,105523359,0.0008723319746753872,0.00011530527584225016
POLSKI-HOLDING-NIERUCHOMOSCI,51200.0,2122600.0,12.0,51217313,614607756,0.000999661969771823,0.04144301752026702
PHARMENA,1113.0,44177.0,5.980000014365548,11137758,66603793,9.993034504789923e-05,0.003966417657844604
PROJPRZEM,5983.0,57733.0,16.100000066859266,5982716,96321728,0.001000047470078807,0.009649964999174289
PKN-ORLEN,1974000.0,46405000.0,56.7799999998105,1160942049,65918289542,0.0017003432701058103,0.03997184875849044
PKPCARGO,2239300.0,678000.0,14.779999994194734,44786917,661950633,0.049998976263536964,0.015138349442539212
PLAYWAY,660.0,32142.0,418.5,6600000,2762100000,0.0001,0.00487
PLAZACNTR,30331.0,1250205.0,2.099999956240173,6855603,14396766,0.004424264357198047,0.18236251428211347
PRIMA-MODA,1600.0,9578.0,0.72,3200000,2304000,0.0005,0.002993125
PAMAPOL,34750.0,55891.0,3.68,34750050,127880184,0.0009999985611531493,0.001608371786515415
PEPEES,5700.0,7562.0,1.44,95000000,136800000,6e-05,7.96e-05
PRI,3680.0,25601.0,4.49,3680000,16523200,0.001,0.0069567934782608695
PROCHEM,2355.0,0.0,30.8,2355000,72534000,0.001,0.0
PROTEKTOR,9572.0,10235.0,2.3,19021600,43749680,0.0005032173949615174,0.000538072507044623
PTG,466.0,112733.0,54.0,4663448,251826192,9.992606329050952e-05,0.024173744405427057
PRIMETECH,15610.0,0.0,0.7999999743751263,15609833,12487866,0.0010000106983847938,0.0
PUR,225.0,74194.0,17.18,3214000,55216520,7.00062227753578e-05,0.02308462974486621
POLWAX,1545.0,84457.0,2.82,30900000,87138000,5e-05,0.0027332362459546924
POLIMEX,478238.0,300758.0,4.28000000183052,240368802,1028778473,0.0019896009632730956,0.0012512355908817151
PZU,86000.0,13983000.0,32.12,863523000,27736358760,9.959202013148463e-05,0.01619296764533197
QUANTUM-SOFTWARE,682.0,9672.0,26.0,1364870,35486620,0.0004996812883278261,0.007086389179921897
QUERCUS,5883.0,28845.0,3.550000002655408,56488487,200534129,0.00010414511544626783,0.0005106350255052857
R22,284.0,0.0,51.8,14180000,734524000,2.002820874471086e-05,0.0
RAE,2954.0,481.0,0.5139999966000552,31765222,16327324,9.299478530324768e-05,1.5142346557502415e-05
RAFAMET,43187.0,39039.0,13.399999907379557,4318701,57870593,0.009999997684488924,0.009039523690109595
RAINBOW-TOURS,1455.0,36558.0,28.6,14552000,416187200,9.998625618471687e-05,0.002512231995601979
REDAN,35709.0,0.0,0.1920000042566009,35709244,6856175,0.000999993167035404,0.0
REGNON,44.0,0.0,0.7950000419107971,4772040,3793772,9.220375353098465e-06,0.0
RES,6149.0,8252.0,0.5800000008874979,315493684,182986337,1.949008906308248e-05,2.615583264735024e-05
RAFAKO,1609.0,0.0,1.3280000002486319,160880445,213649231,1.0001215498875578e-05,0.0
REINHOLD,285.0,41567.0,0.10600000178366481,143524724,15213621,1.9857205926415856e-06,0.0002896156065766063
RELPOL,48046.0,0.0,6.200000041626804,9609193,59576997,0.005000003642345408,0.0
REMAK,7500.0,56641.0,13.0,3000000,39000000,0.0025,0.018880333333333332
RNC,64560.0,44285.0,1.34,80700000,108138000,0.0008,0.0005487608426270137
RANK-PROGRESS,3718.0,45853.0,2.1700000134468063,37183550,80688304,9.999045276742e-05,0.0012331528323680768
ROPCZYCE,15649.0,39294.0,28.79999996804925,6259634,180277459,0.00249998642093132,0.006277363820312817
RVU,7342.0,279063.0,57.79999998269907,23120148,1336344554,0.0003175585208191574,0.012070121696452808
RAWLPLUG,32560.0,146674.0,16.55,32560000,538868000,0.001,0.00450472972972973
SCP,273.0,71471.0,195.0,2725930,531556350,0.00010014930684206858,0.02621894179234243
SEKO,665.0,73849.0,6.8,6650000,45220000,0.0001,0.011105112781954887
SELENA-FM,1142.0,692629.0,26.4,22834000,602817600,5.001313830253131e-05,0.03033323114653587
SEN,1766997.0,112497.0,4.5799999970192715,114066073,522422614,0.015490995293578662,0.0009862441744619367
SESCOM,2100.0,4005.0,27.0,2100000,56700000,0.001,0.0019071428571428573
AS-SILVANO-FASHION,17531.0,24188.0,6.0,36000000,216000000,0.00048697222222222224,0.0006718888888888889
SFINKS,37941.0,1045.0,0.8779999891410503,37941054,33312245,0.0009999985767395918,2.7542724564267507e-05
SYGNITY,25956.0,20763.0,32.0,22759947,728318304,0.0011404244482643127,0.0009122604723112932
SADOVAYA,1298.0,85920.0,0.11999999628647032,43085693,5170283,3.012600957816786e-05,0.0019941654414146245
SOHO-DEVELOPMENT,2753.0,29319.0,0.8100000032691478,27530111,22299390,9.999959680511278e-05,0.0010649793602357798
STARHEDGE,32110.0,0.0,0.396,108939000,43139844,0.00029475210897841913,0.0
SHO,2852.0,11837.0,27.0,28515000,769905000,0.00010001753463089602,0.0004151148518323689
SIM,625.0,1090.0,4.04,6250000,25250000,0.0001,0.0001744
SNIEZKA,12618.0,0.0,68.0,12617778,858008904,0.0010000175942230082,0.0
SKARBIEC-HOLDING,5457.0,70580.0,19.599999970681697,6821677,133704869,0.000799949924336787,0.01034642947767829
SKYLINE-INVESTMENT,23321.0,20790.0,0.718,23321000,16744478,0.001,0.0008914712062089962
SKOTAN,65880.0,141735.0,1.326,65880000,87356880,0.001,0.0021514116575591987
SLV,14684.0,109441.0,82.0,18355474,1505148868,0.0007999793413125697,0.005962308573453347
SLZ,,,0.20200000739338617,18665331,3770397,,
STOMIL-SANOK,5376.0,1792.0,18.1200000133919,26881922,487100427,0.00019998570042722392,6.666190014240798e-05
SYNEKTIK,4265.0,64663.0,45.85000004103584,8529129,391060565,0.000500051060313427,0.007581430647842236
SANWIL-HOLDING,9602.0,41646.0,1.2699999812544402,16003790,20324813,0.0005999828790555237,0.0026022585899964945
SUNEX,16233.0,310.0,20.100000024640817,20291535,407859854,0.0007999887637874611,1.5277306522153203e-05
SOLAR-COMPANY,30000.0,142317.0,4.3,3000000,12900000,0.01,0.047439
SONEL,1400.0,29404.0,10.4,14000000,145600000,0.0001,0.0021002857142857143
SOPHARMA,323232.0,113905.0,12.200000001483703,134797899,1644534368,0.0023979008752948,0.000845005751907157
SPR,109.0,630.0,576.0,1090094,627894144,9.99913768904333e-05,0.0005779318113850732
STALPROFIL,1750.0,8000.0,9.89,17500000,173075000,0.0001,0.00045714285714285713
STH,156535.0,0.0,17.96000000204427,156534958,2811367846,0.0010000002683106734,0.0
STALPRODUKT,11161.0,8416.0,274.0,5580267,1528993158,0.0020000835085489635,0.0015081715624001503
STS,1164.0,11954.0,0.6439999724974388,13962336,8991744,8.336713856477885e-05,0.0008561604591094212
STALEXPORT-AUTOSTRADY,185447.0,495142.0,2.690000000525758,247262023,665134842,0.0007500019523823115,0.0020024991868646163
SUWARY,9230.0,5718.0,34.4,4615070,158758408,0.0019999696645988034,0.0012389844574405154
SVRS,7821.0,139317.0,5.0,15787263,78936315,0.0004953993608645147,0.008824645538621863
SECO-WARWICK,3616.0,78666.0,26.0,10298554,267762404,0.0003511172539368148,0.007638548091314567
TARCZYNSKI,11347.0,37525.0,45.0,11346936,510612120,0.0010000056402891494,0.0033070601614391764
TBL,119.0,18214.0,7.720000336613916,1188305,9173715,0.00010014264014710028,0.015327714686044408
TEN,733.0,496.0,117.5,7334822,861841585,9.993425880000905e-05,6.762263624120668e-05
THG,205.0,22064.0,40.0,2045671,81826840,0.00010021161760615466,0.010785703077376568
TIM,22199.0,93037.0,48.7,22199200,1081101040,0.0009999909906663303,0.004191006883130924
TALEX,3000.0,46337.0,15.0,3000092,45001380,0.000999969334273749,0.0154451930140809
TATRY-MOUNTAIN-RESORTS,194509.0,126068.0,125.0,6707198,838399750,0.029000038466137423,0.018795926406228056
TOYA,7504.0,35677.0,5.849999998667417,75042226,438997022,9.99970336700833e-05,0.00047542566234642344
TORPOL,4594.0,54617.0,20.9,22970000,480073000,0.0002,0.0023777535916412714
TOW,1561.0,30072.0,7.2,1560750,11237400,0.001000160179400929,0.019267659778952426
TAURON,8763000.0,3009000.0,1.8830000000559186,1752549394,3300050509,0.005000144378241701,0.0017169273575407143
TRITON-DEVELOPMENT,25458.0,56933.0,4.860000034566612,6364523,30931582,0.003999985544871155,0.00894536794037825
TRAKCJA,269161.0,198139.0,1.5379999997384464,336450976,517461601,0.0008000006515065066,0.0005889089767419786
TRANS-POLONIA,2285.0,75540.0,3.859999979866692,22847711,88192164,0.00010001001850907516,0.0033062392989827295
TERMO-REX,11350.0,3950.0,0.59,113500000,66965000,0.0001,3.480176211453745e-05
TESGAS,11350.0,62968.0,3.29,11350000,37341500,0.001,0.00554784140969163
TXM,149170.0,42828.0,0.1,38890000,3889000,0.0038356904088454615,0.0011012599640010286
UNIMA-2000,2735.0,13417.0,5.6,2735500,15318800,0.0009998172180588558,0.004904770608663864
ULG,523.0,2955.0,14.98,5230000,78345400,0.0001,0.0005650095602294455
ULMA-CONSTRUCCION,10511.0,114990.0,55.0,5255632,289059760,0.001999949768172505,0.0218793857713021
UNF,2984.0,34757.0,2.3200000026401195,30301656,70299842,9.847646610469078e-05,0.001147033020241534
UNIBEP,3507.0,63894.0,7.400000011405553,35070634,259522692,9.999819221973575e-05,0.001821866123093184
UNIMOT-GAZ,8198.0,306992.0,101.0,8197818,827979618,0.0010000222010295911,0.03744801360557163
VGO,729.0,8865.0,566.0,729000,412614000,0.001,0.012160493827160494
VINDEXUS,1170.0,7302.0,6.34,11700000,74178000,0.0001,0.0006241025641025641
VOTUM,1200.0,5702.0,43.65,12000000,523800000,0.0001,0.00047516666666666665
VOXEL,10503.0,88861.0,41.0,10502600,430606600,0.0010000380858073239,0.008460857311522862
VRC,444.0,311109.0,47.700000022498415,22223785,1060074545,1.9978595005306253e-05,0.013998920525914015
VRG,49122.0,0.0,3.2,234455840,750258688,0.000209514934667441,0.0
VISTAL,824.0,80180.0,0.7149999936280016,16478347,11782018,5.000501567299196e-05,0.004865779316335552
VIVID-GAMES,3229.0,3406.0,0.9199999876106408,32285770,29702908,0.0001000131017473023,0.00010549539317166666
WASKO,91187.0,6129.0,1.65,91187500,150459375,0.0009999945167923235,6.721315969842357e-05
WIKANA,39510.0,65202.0,3.230000014173581,19755064,63808857,0.0019999935206486802,0.00330052081835827
WIS,175302.0,26640.0,0.23999998357121904,21912764,5259063,0.0079999948888237,0.0012157297910934466
WIELTON,12075.0,72368.0,7.73,60375000,466698750,0.0002,0.0011986418219461698
WOJAS,12677.0,71731.0,8.44000003786487,12676658,106990994,0.00100002697871947,0.005658510310840602
WIRTUALNA-POLSKA,1464.0,327763.0,99.29999998634395,29291058,2908602059,4.998112393208876e-05,0.011189865521416126
WTN,3658.0,51911.0,29.8,18290470,545056006,0.00019999486071161648,0.002838144673154927
WAWEL,7499.0,577970.0,470.0,1499755,704884850,0.005000150024504002,0.38537627812542713
WARIMPEX,262969.0,0.0,3.17,54000000,171180000,0.0048697962962962965,0.0
XTB,5869.0,71608.0,32.83999999659237,117383635,3854878573,4.999845165810379e-05,0.0006100339284943766
XTP,203.0,1531.0,110.0,2029222,223214420,0.00010003833981693477,0.0007544763461070302
YOLO,8879.0,7446.0,0.3690000466258537,8879194,3276423,0.0009999781511700273,0.0008385896287433296
ZAKLADY-AZOTOWE-PULAWY,191150.0,237650.0,79.2,19115000,1513908000,0.01,0.012432644520010463
ZEPAK,101647.0,1133179.0,22.70000000196759,50823547,1153694517,0.001999998150463603,0.022296338348836615
ZAMET-INDUSTRY,74144.0,33101.0,1.22,105920000,129222400,0.0007,0.0003125094410876133
ZREMB-CHOJNICE,6500.0,24606.0,3.86,13000000,50180000,0.0005,0.0018927692307692309
ZUE,5758.0,93837.0,4.95000000651322,23030083,113998911,0.00025002080973828884,0.004074540243732513
STAPORKOW,2211.0,12771.0,5.740000061502601,6503790,37331755,0.00033995562587352913,0.0019636242867620266
ZYWIEC,25678.0,113654.0,481.0,10271337,4940513097,0.002499966654779217,0.011065161234608503
